company,year,word_count,sentence_count,quant_claims_count,vague_count,action_count,hedge_count,positive_count,sustainability_mentions,specificity_ratio,credibility_count,vague_per_1000,action_per_1000,hedge_per_1000,positive_per_1000,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,company_clean,ftse_company,co2_tonnes,co2_yoy_pct,specificity_yoy,divergence_index,divergence_score,greenwashing_label
astrazeneca,2023,19771,693,22,46,37,107,205,130,0.1692,60,2.33,1.87,5.41,10.37,6.9946604,-2.8438199,10.309419,9.4464,-11.797732,1.8882421,6.7754917,-0.29089883,-0.1578186,4.133363,AstraZeneca,AstraZeneca,31869.946989999986,,,,,0
astrazeneca,2024,171114,6231,18,105,132,1573,528,439,0.041,554,0.61,0.77,9.19,3.09,12.0141,6.2764897,12.760802,-2.4863932,-17.377794,-0.17623907,-1.9303665,0.91640425,-2.3585725,0.31612456,AstraZeneca,,,,-75.76832151300236,,,0
astrazeneca,2025,158501,5577,20,101,121,1503,478,418,0.0478,487,0.64,0.76,9.48,3.02,10.313831,10.210376,18.057234,-3.1927907,-23.81259,-1.1759453,-4.4943795,1.0906093,0.11836881,-3.270634,AstraZeneca,,,,16.58536585365853,,,0
barclays,2021,120139,3401,2,59,35,1320,169,133,0.015,361,0.49,0.29,10.99,1.41,-23.092068,-14.988216,-16.513346,-6.910028,-6.136508,1.9812883,2.6192424,0.5640408,3.2033474,1.6069266,Barclays,Barclays,42.695880003333336,,,,,0
barclays,2022,132200,3765,25,81,30,1436,237,319,0.0784,391,0.61,0.23,10.86,1.79,-22.788094,-14.009145,-16.203167,-7.283479,-6.3943954,3.409131,4.983612,5.5625567,3.0381618,0.8415617,Barclays,Barclays,42.695880003333336,0.0,422.66666666666663,-422.66666666666663,0.0,0
barclays,2023,135958,3890,29,77,29,1444,254,380,0.0763,395,0.57,0.21,10.62,1.87,-21.802124,-13.470709,-14.444871,-7.172578,-6.394765,2.4564333,2.2039742,0.7285996,6.395818,0.5002688,Barclays,Barclays,42.695880003333336,0.0,-2.678571428571419,2.678571428571419,89.08,0
bp,2021,34744,1217,33,83,33,202,467,389,0.0848,73,2.39,0.95,5.81,13.44,7.68002,-7.759501,9.492509,11.55986,4.5063324,8.1538725,4.5717015,1.234253,-2.8359003,4.134128,BP,BP,2420268.4568198626,,,,,0
bp,2022,40829,1582,73,89,67,282,472,473,0.1543,92,2.18,1.64,6.91,11.56,2.9182646,-4.8287916,12.009697,14.395341,4.949563,8.040004,4.485657,2.1599338,-0.14268789,2.330372,BP,BP,2364929.345167178,-2.2864865051126504,81.95754716981132,-84.24403367492397,70.87,0
bp,2023,41534,1574,40,81,59,334,474,475,0.0842,94,1.95,1.42,8.04,11.41,3.5528772,-6.3069053,12.412918,13.912902,4.1440964,8.96642,5.0585413,2.6000342,1.4891523,0.47469097,BP,BP,2587606.340320316,9.415799064280161,-45.430978613091376,54.846777677371534,100.0,1
diageo,2021,239384,7585,41,152,169,1816,690,427,0.096,745,0.63,0.71,7.59,2.88,-0.40675223,4.692662,2.9758663,-6.639716,5.4610376,-2.735505,7.4352264,1.2599527,-4.243952,-0.23162198,Diageo,Diageo,6249.73163999998,,,,,0
