specificity_ratio,vague_per_1000,action_per_1000,hedge_per_1000,positive_per_1000,credibility_count,quant_claims_count,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,greenwashing_label,company,year,risk_score
0.1692,2.33,1.87,5.41,10.37,60,22,6.9946604,-2.8438199,10.309419,9.4464,-11.797732,1.8882421,6.7754917,-0.29089883,-0.1578186,4.133363,0,astrazeneca,2023,0.2216341699231507
0.041,0.61,0.77,9.19,3.09,554,18,12.0141,6.2764897,12.760802,-2.4863932,-17.377794,-0.17623907,-1.9303665,0.91640425,-2.3585725,0.31612456,0,astrazeneca,2024,0.1813050936845158
0.0478,0.64,0.76,9.48,3.02,487,20,10.313831,10.210376,18.057234,-3.1927907,-23.81259,-1.1759453,-4.4943795,1.0906093,0.11836881,-3.270634,0,astrazeneca,2025,0.19908177422678217
0.015,0.49,0.29,10.99,1.41,361,2,-23.092068,-14.988216,-16.513346,-6.910028,-6.136508,1.9812883,2.6192424,0.5640408,3.2033474,1.6069266,0,barclays,2021,0.12578550485074616
0.0784,0.61,0.23,10.86,1.79,391,25,-22.788094,-14.009145,-16.203167,-7.283479,-6.3943954,3.409131,4.983612,5.5625567,3.0381618,0.8415617,0,barclays,2022,0.10595271220415522
0.0763,0.57,0.21,10.62,1.87,395,29,-21.802124,-13.470709,-14.444871,-7.172578,-6.394765,2.4564333,2.2039742,0.7285996,6.395818,0.5002688,0,barclays,2023,0.15928986242298077
0.0848,2.39,0.95,5.81,13.44,73,33,7.68002,-7.759501,9.492509,11.55986,4.5063324,8.1538725,4.5717015,1.234253,-2.8359003,4.134128,0,bp,2021,0.5807593451776655
0.1543,2.18,1.64,6.91,11.56,92,73,2.9182646,-4.8287916,12.009697,14.395341,4.949563,8.040004,4.485657,2.1599338,-0.14268789,2.330372,0,bp,2022,0.6755654683177194
0.0842,1.95,1.42,8.04,11.41,94,40,3.5528772,-6.3069053,12.412918,13.912902,4.1440964,8.96642,5.0585413,2.6000342,1.4891523,0.47469097,1,bp,2023,0.6248417006114771
0.096,0.63,0.71,7.59,2.88,745,41,-0.40675223,4.692662,2.9758663,-6.639716,5.4610376,-2.735505,7.4352264,1.2599527,-4.243952,-0.23162198,0,diageo,2021,0.15405139180316146
0.0939,0.53,0.86,7.72,2.78,778,52,2.767655,5.504702,3.033305,-13.044602,6.3447075,-4.6327667,5.5892863,0.9386112,-3.474382,-0.33518562,0,diageo,2022,0.17963712663655446
0.0864,0.61,0.88,8.08,3.25,551,42,3.7830212,14.824789,9.262259,-4.3739724,6.8404846,-3.3145812,8.47596,3.8137631,1.5788845,-3.602612,0,diageo,2023,0.17108014197835092
0.0752,0.54,0.78,8.0,3.52,508,41,44.911537,-2.4707603,-9.461224,-8.839054,4.2516003,5.1016192,-0.47075582,4.298587,8.491282,-6.3477216,0,diageo,2024,0.2545477637318421
0.0656,0.56,0.7,8.37,3.11,438,20,9.027935,13.265394,7.8227477,-10.885069,5.5853167,-2.1389167,3.4050212,1.3251476,3.6742907,-4.300359,0,diageo,2025,0.19839823490464856
0.0714,3.05,1.15,6.98,9.51,158,11,-6.4967093,1.7137692,-2.8813515,4.1428123,-0.15075672,11.252787,2.011536,8.982587,1.6574862,-0.61498195,0,hsbc,2019,0.45203973404080633
0.1823,0.81,0.55,9.85,2.5,884,74,-6.687162,8.5718,-2.9118025,0.26133767,1.5586468,4.361609,-7.711548,-2.1657262,-0.40548232,1.4624723,0,hsbc,2020,0.4723531454953758
0.077,0.89,0.52,9.91,3.14,929,72,-4.59843,10.063912,-0.70891374,0.0587542,2.2698627,6.2619057,-10.305285,-2.7698877,1.2431561,1.1282963,1,hsbc,2021,0.6821124678192226
0.0485,0.99,0.61,9.98,3.46,1025,61,-4.0237455,12.761879,-0.74953836,2.272068,4.012981,6.958436,-10.880092,-3.351157,2.7298536,2.8438833,1,hsbc,2022,0.7197468879881508
0.0518,0.86,0.55,9.59,3.46,1050,69,-3.9661462,13.524046,-1.3281373,-0.44798204,4.480239,7.2095137,-11.304292,-2.0849006,4.1153345,2.6237056,0,hsbc,2023,0.7327407732005697
0.0738,0.39,0.49,8.55,2.42,672,27,-4.729862,15.751732,-10.488055,6.457849,-0.7909387,2.7054515,2.9961436,-1.2726545,-1.358315,-3.5412774,0,lloyds,2021,0.14155173791242287
0.0902,0.37,0.44,8.67,2.38,685,34,-12.863277,4.0235004,-12.180381,3.9432802,-0.2002188,-0.6347273,1.9754062,-3.367766,-5.255911,-0.15236633,0,lloyds,2022,0.14750122804405963
